"","AY871813","EU282328","AB550408","JX556922","JN832500","JN832506","JN575585","JX556940","HM210481","DQ181846","DQ181856","AY732464","DQ181807","DQ917244","AM746226","AF425619","HM237348","KP858119","KT012508","AB915384","JN036390","KF041250","DQ453981","AY676385","AY676407","KF709426","KM222447","KM216708","KM222448"
"DQ181856",0.0600134861766689,0.106540795684423,0.104517869184086,0.0930546190155092,0.104517869184086,0.095751854349292,0.0964261631827377,0.0991233985165205,0.0539447066756574,0.0532703978422118,0,0.091031692515172,0.0323668240053945,0.0721510451786919,0.0438300741739717,0.101820633850303,0.0883344571813891,0.109238031018206,0.0485502360080917,0.0937289278489548,0.0988490182802979,0.0947867298578199,0.105619498984428,0.0927555856465809,0.100880162491537,0.105619498984428,0.053921568627451,0.0276988636363636,0.0527522935779816
"AY732464",0.103169251517195,0.0734996628455833,0.0701281186783547,0.112609575185435,0.132838840188806,0.122724207687121,0.119352663519892,0.120026972353338,0.0883344571813891,0.0977747808496291,0.091031692515172,0,0.0937289278489548,0.0883344571813891,0.0883344571813891,0.0478759271746459,0.118004045853001,0.0600134861766689,0.0964261631827377,0.0573162508428861,0.102911306702776,0.0988490182802979,0.106296547054841,0.104265402843602,0.102911306702776,0.107650643195667,0.102240896358543,0.0859375,0.0642201834862385
"DQ181807",0.0512474713418746,0.112609575185435,0.110586648685098,0.0971004720161834,0.107215104517869,0.0997977073499663,0.0977747808496291,0.103169251517195,0.0478759271746459,0.0539447066756574,0.0323668240053945,0.0937289278489548,0,0.0708024275118004,0.0498988536749831,0.106540795684423,0.0937289278489548,0.113283884018881,0.0472016183412003,0.0984490896830749,0.0981719702098849,0.0927555856465809,0.102234258632363,0.093432633716994,0.0995260663507109,0.100203114421124,0.0469187675070029,0.0227272727272727,0.0458715596330275
"DQ917244",0.0856372218476062,0.116655428186109,0.101820633850303,0.0863115306810519,0.0950775455158462,0.0917060013486176,0.0856372218476062,0.0883344571813891,0.0822656776803776,0.0836142953472691,0.0721510451786919,0.0883344571813891,0.0708024275118004,0,0.0815913688469319,0.0971004720161834,0.0849629130141605,0.113958192852326,0.0863115306810519,0.0977747808496291,0.090047393364929,0.096817874069059,0.106296547054841,0.0853080568720379,0.0853080568720379,0.102234258632363,0.084733893557423,0.0688920454545454,0.0496941896024465
"AM746226",0.0519217801753203,0.102494942683749,0.102494942683749,0.103843560350641,0.117329737019555,0.106540795684423,0.103843560350641,0.105866486850978,0.0559676331759946,0.0498988536749831,0.0438300741739717,0.0883344571813891,0.0498988536749831,0.0815913688469319,0,0.105192178017532,0.0997977073499663,0.109238031018206,0.0438300741739717,0.0937289278489548,0.109004739336493,0.106296547054841,0.117129316181449,0.104265402843602,0.113744075829384,0.11509817197021,0.0574229691876751,0.0284090909090909,0.0634556574923547
"AF425619",0.119352663519892,0.0613621038435603,0.0566419420094403,0.103843560350641,0.126770060687795,0.118004045853001,0.113958192852326,0.110586648685098,0.104517869184086,0.111260957518543,0.101820633850303,0.0478759271746459,0.106540795684423,0.0971004720161834,0.105192178017532,0,0.117329737019555,0.0512474713418746,0.116655428186109,0.0498988536749831,0.0907244414353419,0.093432633716994,0.0981719702098849,0.0947867298578199,0.0893703452945159,0.104265402843602,0.109943977591036,0.0965909090909091,0.0695718654434251
"HM237348",0.0917060013486176,0.118678354686446,0.115306810519218,0.052596089008766,0.0600134861766689,0.064733648010789,0.0593391773432232,0.0472016183412003,0.103169251517195,0.0971004720161834,0.0883344571813891,0.118004045853001,0.0937289278489548,0.0849629130141605,0.0997977073499663,0.117329737019555,0,0.131490222521915,0.0971004720161834,0.114632501685772,0.100203114421124,0.0974949221394719,0.106973595125254,0.0961408259986459,0.093432633716994,0.10832769126608,0.102941176470588,0.0845170454545454,0.058868501529052
"KP858119",0.125421443020904,0.0701281186783547,0.0586648685097775,0.113958192852326,0.142953472690492,0.136884693189481,0.132838840188806,0.124072825354012,0.107215104517869,0.119352663519892,0.109238031018206,0.0600134861766689,0.113283884018881,0.113958192852326,0.109238031018206,0.0512474713418746,0.131490222521915,0,0.117329737019555,0.0532703978422118,0.100880162491537,0.0954637779282329,0.106973595125254,0.102911306702776,0.0988490182802979,0.107650643195667,0.114145658263305,0.103693181818182,0.0756880733944955
"KT012508",0.052596089008766,0.115306810519218,0.113283884018881,0.0971004720161834,0.109912339851652,0.095751854349292,0.0971004720161834,0.0997977073499663,0.0573162508428861,0.0498988536749831,0.0485502360080917,0.0964261631827377,0.0472016183412003,0.0863115306810519,0.0438300741739717,0.116655428186109,0.0971004720161834,0.117329737019555,0,0.103843560350641,0.111712931618145,0.109004739336493,0.12186865267434,0.102234258632363,0.117129316181449,0.123222748815166,0.053921568627451,0.0255681818181818,0.0642201834862385
"AB915384",0.109238031018206,0.0640593391773432,0.0512474713418746,0.0997977073499663,0.130815913688469,0.122049898853675,0.109912339851652,0.106540795684423,0.0896830748482805,0.104517869184086,0.0937289278489548,0.0573162508428861,0.0984490896830749,0.0977747808496291,0.0937289278489548,0.0498988536749831,0.114632501685772,0.0532703978422118,0.103843560350641,0,0.0846310088016249,0.0914014895057549,0.0941096817874069,0.0920785375761679,0.0859851049424509,0.0954637779282329,0.0994397759103641,0.0880681818181818,0.0626911314984709
"JN036390",0.104265402843602,0.0995260663507109,0.100880162491537,0.090047393364929,0.105619498984428,0.104265402843602,0.0853080568720379,0.0927555856465809,0.10832769126608,0.10832769126608,0.0988490182802979,0.102911306702776,0.0981719702098849,0.090047393364929,0.109004739336493,0.0907244414353419,0.100203114421124,0.100880162491537,0.111712931618145,0.0846310088016249,0,0.0521327014218009,0.062965470548409,0.036560595802302,0.0284360189573459,0.0609343263371699,0.102941176470588,0.0916193181818182,0.036697247706422
"KF041250",0.106973595125254,0.103588354773189,0.0974949221394719,0.0825998645903859,0.107650643195667,0.104942450914015,0.0954637779282329,0.093432633716994,0.100203114421124,0.102911306702776,0.0947867298578199,0.0988490182802979,0.0927555856465809,0.096817874069059,0.106296547054841,0.093432633716994,0.0974949221394719,0.0954637779282329,0.109004739336493,0.0914014895057549,0.0521327014218009,0,0.050101557210562,0.0487474610697359,0.0514556533513879,0.0514556533513879,0.105742296918767,0.0901988636363636,0.036697247706422
"DQ453981",0.112389979688558,0.109004739336493,0.104265402843602,0.100203114421124,0.111712931618145,0.10832769126608,0.100880162491537,0.102911306702776,0.10832769126608,0.112389979688558,0.105619498984428,0.106296547054841,0.102234258632363,0.106296547054841,0.117129316181449,0.0981719702098849,0.106973595125254,0.106973595125254,0.12186865267434,0.0941096817874069,0.062965470548409,0.050101557210562,0,0.0649966147596479,0.0589031821259309,0.0284360189573459,0.105742296918767,0.09375,0.0244648318042814
"AY676385",0.0961408259986459,0.0981719702098849,0.0974949221394719,0.086662153012864,0.102911306702776,0.0988490182802979,0.0792146242383209,0.0880162491536899,0.0995260663507109,0.0981719702098849,0.0927555856465809,0.104265402843602,0.093432633716994,0.0853080568720379,0.104265402843602,0.0947867298578199,0.0961408259986459,0.102911306702776,0.102234258632363,0.0920785375761679,0.036560595802302,0.0487474610697359,0.0649966147596479,0,0.036560595802302,0.066350710900474,0.0945378151260504,0.0788352272727273,0.0321100917431193
"AY676407",0.107650643195667,0.102911306702776,0.0981719702098849,0.0914014895057549,0.105619498984428,0.102234258632363,0.0839539607312119,0.0907244414353419,0.111712931618145,0.110358835477319,0.100880162491537,0.102911306702776,0.0995260663507109,0.0853080568720379,0.113744075829384,0.0893703452945159,0.093432633716994,0.0988490182802979,0.117129316181449,0.0859851049424509,0.0284360189573459,0.0514556533513879,0.0589031821259309,0.036560595802302,0,0.0582261340555179,0.105042016806723,0.09375,0.0305810397553516
"KF709426",0.107650643195667,0.114421123899797,0.107650643195667,0.100880162491537,0.11509817197021,0.111035883547732,0.102234258632363,0.100880162491537,0.10832769126608,0.113744075829384,0.105619498984428,0.107650643195667,0.100203114421124,0.102234258632363,0.11509817197021,0.104265402843602,0.10832769126608,0.107650643195667,0.123222748815166,0.0954637779282329,0.0609343263371699,0.0514556533513879,0.0284360189573459,0.066350710900474,0.0582261340555179,0,0.104341736694678,0.0930397727272727,0.0275229357798165
"KM222447",0.0546218487394958,0.118347338935574,0.111344537815126,0.0994397759103641,0.107142857142857,0.09593837535014,0.0966386554621849,0.100840336134454,0.0644257703081232,0.0602240896358543,0.053921568627451,0.102240896358543,0.0469187675070029,0.084733893557423,0.0574229691876751,0.109943977591036,0.102941176470588,0.114145658263305,0.053921568627451,0.0994397759103641,0.102941176470588,0.105742296918767,0.105742296918767,0.0945378151260504,0.105042016806723,0.104341736694678,0.0336134453781513,0.0447443181818182,0.0695718654434251
"KM216708",0.0269886363636364,0.0987215909090909,0.0973011363636364,0.0845170454545454,0.0887784090909091,0.0774147727272727,0.0767045454545454,0.0823863636363636,0.0461647727272727,0.0348011363636364,0.0276988636363636,0.0859375,0.0227272727272727,0.0688920454545454,0.0284090909090909,0.0965909090909091,0.0845170454545454,0.103693181818182,0.0255681818181818,0.0880681818181818,0.0916193181818182,0.0901988636363636,0.09375,0.0788352272727273,0.09375,0.0930397727272727,0.0447443181818182,0,0.0756880733944955
"KM222448",0.0496941896024465,0.0695718654434251,0.0680428134556575,0.0542813455657493,0.0711009174311926,0.0695718654434251,0.055045871559633,0.0573394495412844,0.0558103975535168,0.0611620795107034,0.0527522935779816,0.0642201834862385,0.0458715596330275,0.0496941896024465,0.0634556574923547,0.0695718654434251,0.058868501529052,0.0756880733944955,0.0642201834862385,0.0626911314984709,0.036697247706422,0.036697247706422,0.0244648318042814,0.0321100917431193,0.0305810397553516,0.0275229357798165,0.0695718654434251,0.0756880733944955,0
