"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"JQ922546",0.140527657619912,0.116423361472126,0.0880387596964929,0.140840589758844,0.123324148568681,0.177217681638585,0.109916791473215,0.118075256560726,0.118025111937112,0.17397791139055,0,0.0777711002227392,0.103919491312933,0.133737045825152,0.126201681701996,0.131500807530665,0.124127833804291,0.441431571927812,0.610442897172368,0.497039912971865,0.439471366495829,0.64029384300181,0.553811768993133,0.414439861570439,0.464065301599372,0.535424298251123,0.445715326197658,0.462040455847682,0.465877694175643,0.516598722746342,0.421437944973328,0.461571087600662,0.353962560603067,0.478659713318356,0.426374757867622,0.381330932952117,0.455515958621116,0.502258356542908,0.582012449973706,0.568350517616236,0.582266419540435
"AY732483",0.0786563660642223,0.180265855256364,0.053282034845914,0.105799470398839,0.0913805705456844,0.125385382047996,0.159469204027823,0.0769438845582779,0.0719027765712217,0.135259185724675,0.0777711002227392,0,0.064718541752875,0.0873149257230186,0.140801283345461,0.0728874235557908,0.0795263053761569,0.499553364759455,0.662218775483235,0.546132007821882,0.467851892241851,0.669352241821344,0.613608477333898,0.458577211898934,0.480379155146435,0.592617909454928,0.486012966482521,0.525903036782714,0.461250049768883,0.562782241268379,0.456908776371123,0.509641987387544,0.374187461032066,0.526466939609384,0.453342971553088,0.405961654653138,0.49509910584548,0.426201372825714,0.57504675679589,0.538334173105076,0.522621135613554
"FJ898385",0.0606854177504363,0.165945459119336,0.0638914868126013,0.124185040734788,0.126941544117853,0.109038501420918,0.118826195328344,0.113646439880689,0.0198067010562848,0.154012324552374,0.103919491312933,0.064718541752875,0,0.0556470389177615,0.160607754640063,0.0553874437197976,0.0633536943855611,0.444891483374533,0.635218872497777,0.50995728914514,0.434738813835812,0.666042909158753,0.580615058736474,0.422973776838148,0.402284943801593,0.53389033016332,0.45563037325574,0.450359914153241,0.401467138497353,0.524513214668624,0.412504880113774,0.456938186637477,0.324337780936974,0.548587381738963,0.49222459343141,0.38398940177746,0.494586120429706,0.507497975434861,0.608581512470385,0.597965926800989,0.565301098355483
"LC011949",0.0407482645890403,0.213811530212339,0.109637110615634,0.146262347166211,0.104387108738878,0.0968269943996481,0.145974807399637,0.106612549637755,0.0651488218025356,0.152974384121746,0.133737045825152,0.0873149257230186,0.0556470389177615,0,0.198264620255303,0.0325120530622495,0.0349383502176097,0.394075676542352,0.624482859713562,0.456383590393203,0.398733901903303,0.568503344692523,0.561402058879785,0.415832817620715,0.363017211563666,0.530812698518161,0.493320869784718,0.462434938016211,0.368376016344627,0.444273747441468,0.339678234033092,0.431708236928985,0.330389363642311,0.492181565533491,0.472201736626838,0.317131845486853,0.470113801865816,0.48079176169928,0.59141712650855,0.601460015255616,0.555816847123128
"KC692498",0.177320656607174,0.143591374382428,0.153195426368857,0.174291333740005,0.16810375832813,0.203432630292062,0.120535335923499,0.131004624959291,0.172860652273891,0.21609058202469,0.126201681701996,0.140801283345461,0.160607754640063,0.198264620255303,0,0.167558506406845,0.173975906913587,0.594411096132472,0.68583865500343,0.493873928422965,0.543831495645762,0.674564673168557,0.625537844790475,0.400982299962878,0.532622170667973,0.597885391965097,0.407705105255648,0.479986870554646,0.516458047990134,0.597203531065164,0.492060145937789,0.581714707380708,0.347189076223917,0.464553996425008,0.394116703823742,0.379773435576385,0.420820116816366,0.442700345269216,0.501591472132419,0.503890075744323,0.502472039813445
"EU482814",0.0286409432010858,0.211500808832877,0.0793900283541827,0.155664693599076,0.101490488449662,0.0877363047585105,0.146315763571634,0.1150758579045,0.0660485159096213,0.159767224851918,0.131500807530665,0.0728874235557908,0.0553874437197976,0.0325120530622495,0.167558506406845,0,0.0381409176318286,0.409827084304145,0.621952051096766,0.457578044147805,0.412989436049424,0.559448765498991,0.562640039020037,0.440981455704961,0.368655113707803,0.508358749159297,0.494464391938828,0.459294141473757,0.365478318844503,0.483351342257988,0.354581700018313,0.428737383067815,0.34323587048477,0.482115654827861,0.457970227604028,0.346679738319572,0.444113210525045,0.470221995781225,0.598747984922379,0.599225931480297,0.537941896880706
"FJ882548",0.045820206031568,0.194611500224389,0.0926198725171904,0.162692746269513,0.111057595486993,0.115355763017149,0.15132157753343,0.0952975131387619,0.0629359950575786,0.196588088553522,0.124127833804291,0.0795263053761569,0.0633536943855611,0.0349383502176097,0.173975906913587,0.0381409176318286,0,0.403981607883373,0.635633373844748,0.461269451507725,0.425506927985813,0.613869760418498,0.563458771937439,0.427425510964153,0.42140767249524,0.532831013283883,0.497223059536994,0.452233001827499,0.416900024755017,0.47516703012375,0.365738668375841,0.449710806055916,0.329394523793049,0.470060783788531,0.418035669926445,0.313867863883097,0.445584256109001,0.472341529360128,0.604132604830336,0.589983917315877,0.561815686198562
"HM181971",0.403455984935498,0.507742989708252,0.503514450644224,0.560256680640572,0.472669710792278,0.437270411073262,0.49736859369234,0.535632179187757,0.472690383002804,0.482403177297104,0.441431571927812,0.499553364759455,0.444891483374533,0.394075676542352,0.594411096132472,0.409827084304145,0.403981607883373,0,0.240974685585183,0.189759971701523,0.0639700778101323,0.224168555057018,0.19432300334208,0.22406989536991,0.172333570751711,0.190942067592492,0.320395275497778,0.247878946936381,0.170744194211687,0.0905093707033456,0.0661067119123507,0.036045205773543,0.409109066535413,0.499515116058752,0.485325428327827,0.388232233524386,0.511794329442675,0.753389943568198,0.793520430363637,0.8201389764566,0.768015537556798
"JQ955624",0.610049298800406,0.56230871156342,0.637255406385288,0.658933173194572,0.66646287173897,0.608985298026362,0.571275799622089,0.654534816258121,0.687209613556089,0.548699314434392,0.610442897172368,0.662218775483235,0.635218872497777,0.624482859713562,0.68583865500343,0.621952051096766,0.635633373844748,0.240974685585183,0,0.0964078709239798,0.156886509199345,0.194562348154778,0.0503545099826113,0.217786000213661,0.174531255841476,0.0877362699789571,0.204466816361564,0.15891019875541,0.196593871966133,0.210625218465331,0.227395729854048,0.190737306298235,0.495179465118236,0.547953139918418,0.601413577968876,0.501541635141527,0.50286107969874,0.710930723352761,0.720020550114,0.796021942308223,0.744701401283789
"JX475906",0.453924951223146,0.475687255411662,0.544278503124416,0.587680151518028,0.533899621383686,0.479978438978757,0.44645646903362,0.517558557757367,0.562255724778103,0.493374869617126,0.497039912971865,0.546132007821882,0.50995728914514,0.456383590393203,0.493873928422965,0.457578044147805,0.461269451507725,0.189759971701523,0.0964078709239798,0,0.139310668003195,0.155258735357901,0.0843428294437753,0.174883832893833,0.169248725501894,0.11259114231143,0.197309143817745,0.161687180507844,0.179087920812946,0.155161979082426,0.121988875639127,0.189978491002786,0.420747675291689,0.481980014712856,0.504756000735696,0.367908800353249,0.450002793836796,0.622201380774821,0.650465603543509,0.693468871531442,0.632478907435578
