"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"JQ922546",0.0197504176083325,0.0180799842782745,0.0159182470276112,0.0213225901542694,0.0184730274147588,0.0234843274049327,0.0167043333005797,0.0190625921194851,0.018866070551243,0.0236808489731748,0,0.0152304215387639,0.0166060725164587,0.018964331335364,0.0190625921194851,0.0192591136877273,0.018964331335364,0.0370552388441124,0.0379398466679772,0.0361706310202476,0.0357774719874189,0.0407902496559859,0.0367603695694909,0.0337133870650678,0.0357774719874189,0.0365637900530764,0.0332219382740319,0.0362689207784549,0.0357774719874189,0.0402005111067427,0.0360723412620405,0.0385295852172204,0.0337233310392292,0.037557762265264,0.0361812997738669,0.0350014747812408,0.0352964310293973,0.038378271993702,0.0410352292855737,0.0412320409368234,0.0429049399724464
"AY732483",0.0148373784022796,0.0222069372113589,0.0124791195833742,0.017195637221185,0.0165078117323376,0.0198486783924535,0.0207330254495431,0.0147391176181586,0.0144443352657955,0.020634764665422,0.0152304215387639,0,0.0130686842881006,0.0152304215387639,0.0198486783924535,0.0146408568340375,0.0148373784022796,0.0401022213485355,0.040888539414193,0.038333005700806,0.0388244544918419,0.0431492038529585,0.0400039315903283,0.0367603695694909,0.0372518183605268,0.0421663062708866,0.0367603695694909,0.0396107725574996,0.0355808924710045,0.0424611755455082,0.0376449773933556,0.0407902496559859,0.0350014747812408,0.0407039622456002,0.037951037262806,0.037557762265264,0.038147674761577,0.0372958079118284,0.0430033457980712,0.0406416059830742,0.0418224758905728
"FJ898385",0.0129704235039796,0.0217156332907537,0.0130686842881006,0.0190625921194851,0.0175886803576693,0.018866070551243,0.0178834627100324,0.0180799842782745,0.0073695588090793,0.020634764665422,0.0166060725164587,0.0130686842881006,0,0.0125773803674953,0.0208312862336641,0.0117912940945268,0.013658248992827,0.0375466876351485,0.0399056418321211,0.0368586593276981,0.0360723412620405,0.0427560448201297,0.0382347159425988,0.033811676823275,0.0325339099665815,0.0399056418321211,0.0344997051307254,0.0373501081187341,0.0335168075486534,0.0402988008649499,0.0357774719874189,0.0386278749754275,0.0336250122898437,0.0398190935011307,0.037361124766493,0.0357880247763248,0.037951037262806,0.0393623302499508,0.0414288525880732,0.0428065341468215,0.0430033457980712
"LC011949",0.0107104254691952,0.0245651960302643,0.0176869411417903,0.0199469391765746,0.0169008548688219,0.0169991156529429,0.0192591136877273,0.0180799842782745,0.013756509776948,0.0195538960400904,0.018964331335364,0.0152304215387639,0.0125773803674953,0,0.0243686744620222,0.00943303527562145,0.00962955684386357,0.0372518183605268,0.0422645960290937,0.0351877334381757,0.0360723412620405,0.0412816984470218,0.0405936701395715,0.0344014153725182,0.0322390406919599,0.0418714369962649,0.0376449773933556,0.0384312954590131,0.0335168075486534,0.0380381364261844,0.0341065460978967,0.0384312954590131,0.031560318552748,0.0376560810146495,0.0371644872677219,0.0334283747910726,0.0357880247763248,0.0392639244243259,0.0418224758905728,0.0438889982286952,0.0442826215311947
"KC692498",0.02230519799548,0.0201434607448168,0.0208312862336641,0.0226982411319643,0.0214208509383905,0.0247617175985064,0.0183747666306378,0.0193573744718483,0.0226982411319643,0.0253512823032328,0.0190625921194851,0.0198486783924535,0.0208312862336641,0.0243686744620222,0,0.0213225901542694,0.0222069372113589,0.0420680165126793,0.0401022213485355,0.0342048358561038,0.0402005111067427,0.0412816984470218,0.0389227442500492,0.0353843129545901,0.03784155690977,0.0390210340082563,0.0358757617456261,0.0390210340082563,0.0379398466679772,0.0419697267544722,0.03784155690977,0.0411834086888146,0.0344115622849277,0.0378527185134205,0.0354930685281684,0.0345098810343133,0.0356897060269393,0.0373942137374532,0.0399527652037001,0.0411336351111986,0.041625664239323
"EU482814",0.00943303527562145,0.0226982411319643,0.0149356391864007,0.0199469391765746,0.0159182470276112,0.0162130293799745,0.0184730274147588,0.0172938980053061,0.0133634666404638,0.0194556352559694,0.0192591136877273,0.0146408568340375,0.0117912940945268,0.00943303527562145,0.0213225901542694,0,0.0103173823327111,0.0362689207784549,0.0399056418321211,0.0341065460978967,0.0349911539217613,0.0387261647336348,0.0394141930410851,0.035286023196383,0.0314527226263024,0.0398073520739139,0.0377432671515628,0.0382347159425988,0.0322390406919599,0.0374483978769412,0.033320228032239,0.0371535286023197,0.0342149247861567,0.0376560810146495,0.037361124766493,0.0353947497787828,0.0351981122800118,0.0371974020862035,0.0407400118086991,0.0423145050186972,0.0418224758905728
"FJ882548",0.0104156431168321,0.0225017195637222,0.0172938980053061,0.0212243293701484,0.017195637221185,0.0193573744718483,0.0193573744718483,0.0167043333005797,0.0139530313451901,0.0236808489731748,0.018964331335364,0.0148373784022796,0.013658248992827,0.00962955684386357,0.0222069372113589,0.0103173823327111,0,0.0368586593276981,0.0410851189306074,0.0354826027127974,0.0367603695694909,0.0417731472380578,0.0396107725574996,0.0349911539217613,0.0359740515038333,0.0402005111067427,0.0370552388441124,0.0371535286023197,0.0354826027127974,0.038333005700806,0.0348928641635542,0.0387261647336348,0.0318552748009046,0.0361812997738669,0.0336250122898437,0.0324451872972176,0.0329367810441451,0.0380830545168274,0.0413304467624483,0.0425113166699469,0.0423145050186972
"HM181971",0.0367603695694909,0.038333005700806,0.0397090623157067,0.0411834086888146,0.03784155690977,0.03784155690977,0.0379398466679772,0.0417731472380578,0.0379398466679772,0.0388244544918419,0.0370552388441124,0.0401022213485355,0.0375466876351485,0.0372518183605268,0.0420680165126793,0.0362689207784549,0.0368586593276981,0,0.0250638883428347,0.0229015136622764,0.0138588559072145,0.0273245527816002,0.02172203656379,0.0239827010025555,0.0232946726951052,0.0213288775309612,0.0289954786711225,0.0257519166502851,0.0233929624533123,0.0160212305877727,0.0140554354236289,0.0106152938863771,0.0371644872677219,0.0406056434962148,0.0404090059974437,0.0362796185232523,0.0423753809851539,0.0487108836843141,0.0491045069868136,0.0498917535918126,0.0486124778586893
"JQ955624",0.0396107725574996,0.03784155690977,0.0401022213485355,0.0424611755455082,0.0392176135246707,0.0400039315903283,0.0384312954590131,0.0425594653037153,0.042362885787301,0.0393159032828779,0.0379398466679772,0.040888539414193,0.0399056418321211,0.0422645960290937,0.0401022213485355,0.0399056418321211,0.0410851189306074,0.0250638883428347,0,0.0169058384116375,0.0220169058384116,0.0209357184981325,0.0125810890505209,0.024769019068213,0.0226066443876548,0.0160212305877727,0.0245724395517987,0.0238844112443484,0.0249655985846274,0.0243758600353843,0.0253587576174562,0.0232946726951052,0.036967849768951,0.0388359060072756,0.0402123684986727,0.0395241372529741,0.0360829810244814,0.0473332021255658,0.0470379846486912,0.0494981302893132,0.0482188545561897
"JX475906",0.035286023196383,0.0350894436799686,0.0372518183605268,0.0402005111067427,0.0359740515038333,0.035286023196383,0.0330253587576175,0.0376449773933556,0.0392176135246707,0.0372518183605268,0.0361706310202476,0.038333005700806,0.0368586593276981,0.0351877334381757,0.0342048358561038,0.0341065460978967,0.0354826027127974,0.0229015136622764,0.0169058384116375,0,0.0214271672891685,0.0199528209160605,0.0155297817967368,0.0226066443876548,0.0225083546294476,0.0183801847847455,0.0249655985846274,0.0241792805189699,0.023687831727934,0.0216237468055829,0.0205425594653037,0.0242775702771771,0.0336250122898437,0.0348048372824697,0.0368695310195655,0.0339199685380002,0.0359846622750959,0.0437905924030703,0.0443810273568195,0.0458571147411927,0.0450698681361936
