"2001",0,6,45,13,4,6,10,2,7,1,6,57,7,29,12,12,3,8,30,15,20,3,6,13,6,8,5,6,7,7,15,10,5,8,1,0,3,1,6,20,11,5,30,0,3,4,41,21,32,37,11,6,7,1,35,2,27,31,11,5,26,7,1,17,12,4,3,7,35,7,4,12,12,7,11,4,8,23,26,13,4,40,22
"1998",3,9,42,16,1,3,7,5,10,4,3,54,10,26,15,15,0,11,27,18,17,6,9,16,9,11,8,9,10,10,12,13,8,11,4,3,0,2,9,17,14,2,27,3,0,7,38,18,29,34,14,9,10,4,32,1,24,28,8,8,23,4,2,14,15,1,6,10,32,10,7,9,15,4,14,7,11,20,23,16,1,37,19
"2000",1,7,44,14,3,5,9,3,8,2,5,56,8,28,13,13,2,9,29,16,19,4,7,14,7,9,6,7,8,8,14,11,6,9,2,1,2,0,7,19,12,4,29,1,2,5,40,20,31,36,12,7,8,2,34,1,26,30,10,6,25,6,0,16,13,3,4,8,34,8,5,11,13,6,12,5,9,22,25,14,3,39,21
"2007",6,0,51,7,10,12,16,4,1,5,12,63,1,35,6,6,9,2,36,9,26,3,0,7,0,2,1,0,1,1,21,4,1,2,5,6,9,7,0,26,5,11,36,6,9,2,47,27,38,43,5,0,1,5,41,8,33,37,17,1,32,13,7,23,6,10,3,1,41,1,2,18,6,13,5,2,2,29,32,7,10,46,28
"1981",20,26,25,33,16,14,10,22,27,21,14,37,27,9,32,32,17,28,10,35,0,23,26,33,26,28,25,26,27,27,5,30,25,28,21,20,17,19,26,0,31,15,10,20,17,24,21,1,12,17,31,26,27,21,15,18,7,11,9,25,6,13,19,3,32,16,23,27,15,27,24,8,32,13,31,24,28,3,6,33,16,20,2
"2012",11,5,56,2,15,17,21,9,4,10,17,68,4,40,1,1,14,3,41,4,31,8,5,2,5,3,6,5,4,4,26,1,6,3,10,11,14,12,5,31,0,16,41,11,14,7,52,32,43,48,0,5,4,10,46,13,38,42,22,6,37,18,12,28,1,15,8,4,46,4,7,23,1,18,0,7,3,34,37,2,15,51,33
"1996",5,11,40,18,1,1,5,7,12,6,1,52,12,24,17,17,2,13,25,20,15,8,11,18,11,13,10,11,12,12,10,15,10,13,6,5,2,4,11,15,16,0,25,5,2,9,36,16,27,32,16,11,12,6,30,3,22,26,6,10,21,2,4,12,17,1,8,12,30,12,9,7,17,2,16,9,13,18,21,18,1,35,17
"1971",30,36,15,43,26,24,20,32,37,31,24,27,37,1,42,42,27,38,0,45,10,33,36,43,36,38,35,36,37,37,15,40,35,38,31,30,27,29,36,10,41,25,0,30,27,34,11,9,2,7,41,36,37,31,5,28,3,1,19,35,4,23,29,13,42,26,33,37,5,37,34,18,42,23,41,34,38,7,4,43,26,10,8
"2001",0,6,45,13,4,6,10,2,7,1,6,57,7,29,12,12,3,8,30,15,20,3,6,13,6,8,5,6,7,7,15,10,5,8,1,0,3,1,6,20,11,5,30,0,3,4,41,21,32,37,11,6,7,1,35,2,27,31,11,5,26,7,1,17,12,4,3,7,35,7,4,12,12,7,11,4,8,23,26,13,4,40,22
"1998",3,9,42,16,1,3,7,5,10,4,3,54,10,26,15,15,0,11,27,18,17,6,9,16,9,11,8,9,10,10,12,13,8,11,4,3,0,2,9,17,14,2,27,3,0,7,38,18,29,34,14,9,10,4,32,1,24,28,8,8,23,4,2,14,15,1,6,10,32,10,7,9,15,4,14,7,11,20,23,16,1,37,19
